keen_agnesi: CPU: 212.75%, Memory: 1.045GiB / 251.5GiB
fervent_gagarin: CPU: 1519.00%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1483.77%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1492.48%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1493.81%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1542.63%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1511.64%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1517.83%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1524.64%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1522.86%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1505.95%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1495.93%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1493.41%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1532.52%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1496.72%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1497.48%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1552.46%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1500.27%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1556.93%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1556.81%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1498.94%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1562.42%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1493.48%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1515.30%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1498.41%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1494.59%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1497.97%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1563.97%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1500.64%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1500.72%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1534.63%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1498.96%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1495.91%, Memory: 12.01GiB / 251.5GiB
fervent_gagarin: CPU: 1063.34%, Memory: 12.04GiB / 251.5GiB
fervent_gagarin: CPU: 1179.03%, Memory: 12.33GiB / 251.5GiB
fervent_gagarin: CPU: 864.96%, Memory: 12.55GiB / 251.5GiB
fervent_gagarin: CPU: 334.67%, Memory: 13.45GiB / 251.5GiB
fervent_gagarin: CPU: 983.14%, Memory: 14.1GiB / 251.5GiB
fervent_gagarin: CPU: 1499.12%, Memory: 14.1GiB / 251.5GiB
fervent_gagarin: CPU: 100.75%, Memory: 14.1GiB / 251.5GiB
fervent_gagarin: CPU: 1284.85%, Memory: 14.1GiB / 251.5GiB
fervent_gagarin: CPU: 100.44%, Memory: 17.09GiB / 251.5GiB
fervent_gagarin: CPU: 100.75%, Memory: 17.09GiB / 251.5GiB
fervent_gagarin: CPU: 99.62%, Memory: 17.98GiB / 251.5GiB
fervent_gagarin: CPU: 100.90%, Memory: 17.98GiB / 251.5GiB
fervent_gagarin: CPU: 101.20%, Memory: 19.19GiB / 251.5GiB
fervent_gagarin: CPU: 1505.54%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1501.17%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1499.04%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1504.04%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 205.59%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1564.28%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1461.48%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1580.68%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1570.07%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 387.60%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1551.48%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1520.77%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1586.73%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1585.86%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1529.72%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1519.10%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1502.14%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1505.96%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1493.10%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1540.88%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1531.09%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1494.91%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1491.02%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1483.07%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1515.36%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1513.47%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1497.89%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1539.43%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1512.87%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1526.56%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1506.34%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1496.42%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1490.51%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1511.70%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1559.90%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1587.03%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1499.86%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1551.55%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1581.57%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1513.05%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1542.13%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1488.58%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1514.49%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1513.55%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1492.85%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1558.65%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1514.07%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1522.08%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1552.69%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1540.14%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1551.24%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1548.11%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1489.58%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1514.95%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1531.00%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1486.64%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1498.70%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1503.99%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1557.42%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1509.56%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1499.76%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1500.02%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1529.57%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1498.34%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1498.15%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1515.82%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1497.35%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1490.73%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1490.73%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1505.33%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1539.22%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1497.93%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1525.02%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1541.10%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1539.51%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1578.25%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1550.56%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1523.43%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1503.06%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1505.07%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1516.71%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1498.44%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1493.60%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1494.33%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1497.27%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1498.58%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1574.20%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1550.19%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1584.71%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1580.87%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1581.21%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1546.25%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1582.54%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1577.64%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1582.75%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1580.80%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1580.81%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1583.03%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1583.32%, Memory: 20.03GiB / 251.5GiB
fervent_gagarin: CPU: 1585.21%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 1585.38%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 1579.87%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 1583.74%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 1549.47%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 1583.40%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 1578.89%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 1581.47%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 1581.81%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 1592.13%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 1579.30%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 1581.54%, Memory: 12.09GiB / 251.5GiB
fervent_gagarin: CPU: 884.41%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1559.10%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1541.93%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1585.23%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1582.65%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1583.39%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1582.75%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1581.61%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1534.94%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1491.65%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1536.05%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1545.69%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 1552.15%, Memory: 9.107GiB / 251.5GiB
fervent_gagarin: CPU: 102.10%, Memory: 15.16GiB / 251.5GiB
hopeful_nash: CPU: 292.97%, Memory: 1.018GiB / 251.5GiB
hopeful_nash: CPU: 101.22%, Memory: 3.517GiB / 251.5GiB
hopeful_nash: CPU: 101.39%, Memory: 5.998GiB / 251.5GiB
hopeful_nash: CPU: 100.43%, Memory: 3.28GiB / 251.5GiB
hopeful_nash: CPU: 101.41%, Memory: 9.762GiB / 251.5GiB
hopeful_nash: CPU: 1360.66%, Memory: 11.98GiB / 251.5GiB
hopeful_nash: CPU: 1536.05%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1543.07%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1548.97%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1552.38%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1579.90%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1554.37%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1565.11%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1582.24%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1489.33%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1557.32%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1516.18%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1485.60%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1545.27%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1528.06%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1495.62%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1556.86%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1493.58%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1496.89%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1509.32%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1517.65%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1549.23%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1544.34%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1580.63%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1522.80%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1508.86%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1524.11%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1546.87%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1518.04%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1523.20%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1588.71%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1594.71%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1547.38%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1584.55%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1585.20%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1583.53%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1577.23%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1578.25%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1574.19%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1574.15%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1588.30%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1575.80%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1584.47%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1578.52%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1581.57%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1583.61%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1585.00%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1585.97%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1503.01%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1497.98%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1487.69%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1498.82%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1499.78%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1536.93%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1578.90%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1490.73%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1512.34%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1550.48%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1502.77%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1497.40%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1509.52%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1496.03%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1496.20%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1532.78%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1503.18%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1523.33%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1497.97%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1493.69%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1498.43%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1499.22%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1500.42%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1495.50%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1518.01%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1505.25%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1511.70%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1500.93%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1495.70%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1496.84%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1503.56%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1502.04%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1506.12%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1505.68%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1502.46%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1544.45%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1497.87%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1544.31%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1490.90%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1499.27%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1497.44%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1500.36%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1500.70%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1494.65%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1502.16%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1544.03%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1542.22%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1501.92%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1483.11%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1499.79%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1539.86%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1498.19%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1498.97%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1508.58%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1490.14%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1531.12%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1520.25%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1492.25%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1530.49%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1498.31%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1490.82%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1494.19%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1490.39%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1504.16%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1519.94%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1491.00%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1581.19%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1502.22%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1532.80%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1496.97%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1512.72%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1486.76%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1529.95%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1511.26%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1497.15%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1524.93%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1498.20%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1491.62%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1493.95%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1564.89%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1503.25%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1523.59%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1488.86%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1552.19%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1539.43%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1579.10%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1586.56%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1583.93%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1582.88%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1507.39%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1522.20%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1500.30%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1485.45%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1496.78%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1514.12%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1537.86%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1516.17%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1529.36%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1513.21%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1505.80%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1495.74%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1519.63%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1525.24%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1550.71%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1547.27%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1518.66%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1527.21%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1498.57%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1522.10%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1496.99%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1501.92%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1540.59%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1545.79%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1520.13%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1544.97%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1589.81%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1583.81%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1577.85%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1585.12%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1584.76%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1533.95%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1538.92%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1578.90%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1546.80%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1486.51%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1541.97%, Memory: 11.99GiB / 251.5GiB
hopeful_nash: CPU: 1498.18%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1539.44%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1528.61%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1580.76%, Memory: 12GiB / 251.5GiB
hopeful_nash: CPU: 1534.20%, Memory: 12GiB / 251.5GiB
