suspicious_austin: CPU: 102.17%, Memory: 1.225GiB / 251.5GiB
friendly_nightingale: CPU: 1505.55%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1509.65%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1583.83%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1507.75%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1540.58%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1502.12%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1573.74%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1562.67%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1581.93%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1546.96%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1583.14%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1485.27%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1544.88%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1548.05%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1580.08%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1513.01%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1553.65%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1513.47%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1585.83%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1525.76%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1511.70%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1492.90%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1513.67%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1530.84%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1526.82%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1559.88%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1532.72%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1506.90%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 101.45%, Memory: 14.99GiB / 251.5GiB
friendly_nightingale: CPU: 101.67%, Memory: 10.63GiB / 251.5GiB
friendly_nightingale: CPU: 613.88%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1549.48%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1579.97%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1582.44%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1580.44%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1581.48%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1543.22%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1582.55%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1572.52%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1584.39%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1535.93%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1533.66%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1579.47%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1556.71%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1565.15%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 100.52%, Memory: 18GiB / 251.5GiB
friendly_nightingale: CPU: 1550.08%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1574.54%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1565.37%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1550.06%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1527.76%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1556.38%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1544.00%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1552.76%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1522.37%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1536.36%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 1558.82%, Memory: 15.02GiB / 251.5GiB
friendly_nightingale: CPU: 857.16%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1549.45%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1548.45%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1564.42%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1567.34%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1540.78%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1581.04%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1502.40%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1505.47%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1543.86%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1572.41%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1543.38%, Memory: 9.044GiB / 251.5GiB
friendly_nightingale: CPU: 1496.07%, Memory: 9.316GiB / 251.5GiB
friendly_nightingale: CPU: 100.06%, Memory: 15.3GiB / 251.5GiB
happy_joliot: CPU: 160.23%, Memory: 1.15GiB / 251.5GiB
happy_joliot: CPU: 100.24%, Memory: 3.964GiB / 251.5GiB
happy_joliot: CPU: 99.53%, Memory: 3.572GiB / 251.5GiB
happy_joliot: CPU: 100.42%, Memory: 6.055GiB / 251.5GiB
happy_joliot: CPU: 225.66%, Memory: 8.987GiB / 251.5GiB
happy_joliot: CPU: 1581.65%, Memory: 8.993GiB / 251.5GiB
happy_joliot: CPU: 1529.86%, Memory: 8.993GiB / 251.5GiB
happy_joliot: CPU: 1519.68%, Memory: 8.994GiB / 251.5GiB
happy_joliot: CPU: 1548.98%, Memory: 8.994GiB / 251.5GiB
happy_joliot: CPU: 1556.02%, Memory: 8.994GiB / 251.5GiB
happy_joliot: CPU: 1506.22%, Memory: 8.996GiB / 251.5GiB
happy_joliot: CPU: 1558.19%, Memory: 8.996GiB / 251.5GiB
happy_joliot: CPU: 1548.57%, Memory: 8.996GiB / 251.5GiB
happy_joliot: CPU: 1531.37%, Memory: 8.996GiB / 251.5GiB
happy_joliot: CPU: 1584.92%, Memory: 8.997GiB / 251.5GiB
happy_joliot: CPU: 1556.49%, Memory: 8.998GiB / 251.5GiB
happy_joliot: CPU: 1551.35%, Memory: 9GiB / 251.5GiB
happy_joliot: CPU: 1553.40%, Memory: 9GiB / 251.5GiB
happy_joliot: CPU: 1581.04%, Memory: 9.001GiB / 251.5GiB
happy_joliot: CPU: 1582.88%, Memory: 9.002GiB / 251.5GiB
happy_joliot: CPU: 1524.01%, Memory: 9GiB / 251.5GiB
happy_joliot: CPU: 1554.34%, Memory: 9.004GiB / 251.5GiB
happy_joliot: CPU: 1497.72%, Memory: 9.003GiB / 251.5GiB
happy_joliot: CPU: 1518.24%, Memory: 9.004GiB / 251.5GiB
happy_joliot: CPU: 1526.76%, Memory: 9.006GiB / 251.5GiB
happy_joliot: CPU: 1548.80%, Memory: 9.007GiB / 251.5GiB
happy_joliot: CPU: 1575.07%, Memory: 9.008GiB / 251.5GiB
happy_joliot: CPU: 1586.21%, Memory: 9.011GiB / 251.5GiB
happy_joliot: CPU: 1550.98%, Memory: 9.016GiB / 251.5GiB
happy_joliot: CPU: 101.45%, Memory: 6.033GiB / 251.5GiB
happy_joliot: CPU: 99.83%, Memory: 9.094GiB / 251.5GiB
happy_joliot: CPU: 325.02%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1543.09%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1587.52%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1506.49%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1489.95%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1543.40%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1488.88%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1516.72%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1489.26%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1499.98%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1485.62%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1557.38%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1587.49%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1578.18%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1585.46%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1581.25%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1587.60%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1510.95%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1557.50%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1526.79%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1581.19%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1488.91%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1527.72%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1566.71%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1533.79%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1589.13%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1586.39%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 1589.69%, Memory: 12GiB / 251.5GiB
happy_joliot: CPU: 601.33%, Memory: 14.99GiB / 251.5GiB
happy_joliot: CPU: 100.99%, Memory: 11.59GiB / 251.5GiB
happy_joliot: CPU: 101.00%, Memory: 11.83GiB / 251.5GiB
happy_joliot: CPU: 1554.77%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1534.94%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1584.53%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1544.40%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1490.67%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1485.46%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1497.87%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1536.95%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1515.59%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1542.90%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1537.30%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1537.36%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1544.78%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1547.72%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1366.41%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 101.58%, Memory: 18GiB / 251.5GiB
happy_joliot: CPU: 1394.22%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1499.11%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1555.01%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1548.76%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1496.17%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1510.98%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1553.61%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1492.89%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1491.40%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1497.81%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1498.89%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1495.53%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1493.87%, Memory: 15.02GiB / 251.5GiB
happy_joliot: CPU: 1582.88%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 1550.46%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 1543.12%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 1551.39%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 1547.28%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 1579.87%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 1584.75%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 1569.11%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 1545.61%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 1580.23%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 1584.28%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 1517.20%, Memory: 9.044GiB / 251.5GiB
happy_joliot: CPU: 101.47%, Memory: 13.86GiB / 251.5GiB
quirky_brahmagupta: CPU: 100.56%, Memory: 1.403GiB / 251.5GiB
quirky_brahmagupta: CPU: 100.86%, Memory: 4.31GiB / 251.5GiB
quirky_brahmagupta: CPU: 98.98%, Memory: 4.455GiB / 251.5GiB
quirky_brahmagupta: CPU: 100.77%, Memory: 6.6GiB / 251.5GiB
quirky_brahmagupta: CPU: 934.52%, Memory: 8.991GiB / 251.5GiB
quirky_brahmagupta: CPU: 1541.00%, Memory: 8.993GiB / 251.5GiB
quirky_brahmagupta: CPU: 1538.12%, Memory: 8.994GiB / 251.5GiB
quirky_brahmagupta: CPU: 1512.84%, Memory: 8.994GiB / 251.5GiB
quirky_brahmagupta: CPU: 1525.18%, Memory: 8.995GiB / 251.5GiB
quirky_brahmagupta: CPU: 1530.59%, Memory: 8.995GiB / 251.5GiB
quirky_brahmagupta: CPU: 1551.63%, Memory: 8.996GiB / 251.5GiB
quirky_brahmagupta: CPU: 1498.55%, Memory: 8.995GiB / 251.5GiB
quirky_brahmagupta: CPU: 1569.13%, Memory: 8.996GiB / 251.5GiB
quirky_brahmagupta: CPU: 1492.69%, Memory: 8.997GiB / 251.5GiB
quirky_brahmagupta: CPU: 1536.02%, Memory: 8.996GiB / 251.5GiB
quirky_brahmagupta: CPU: 1589.65%, Memory: 8.998GiB / 251.5GiB
quirky_brahmagupta: CPU: 1558.15%, Memory: 8.997GiB / 251.5GiB
quirky_brahmagupta: CPU: 1500.67%, Memory: 8.998GiB / 251.5GiB
quirky_brahmagupta: CPU: 1547.61%, Memory: 8.999GiB / 251.5GiB
quirky_brahmagupta: CPU: 1548.28%, Memory: 9GiB / 251.5GiB
quirky_brahmagupta: CPU: 1584.05%, Memory: 9.001GiB / 251.5GiB
quirky_brahmagupta: CPU: 1577.17%, Memory: 9.002GiB / 251.5GiB
quirky_brahmagupta: CPU: 1584.99%, Memory: 9.003GiB / 251.5GiB
quirky_brahmagupta: CPU: 1552.27%, Memory: 9.003GiB / 251.5GiB
quirky_brahmagupta: CPU: 1538.09%, Memory: 9.004GiB / 251.5GiB
quirky_brahmagupta: CPU: 1487.30%, Memory: 9.002GiB / 251.5GiB
quirky_brahmagupta: CPU: 1493.71%, Memory: 9.004GiB / 251.5GiB
quirky_brahmagupta: CPU: 1498.27%, Memory: 9.004GiB / 251.5GiB
quirky_brahmagupta: CPU: 1551.92%, Memory: 9.006GiB / 251.5GiB
quirky_brahmagupta: CPU: 1554.91%, Memory: 9.008GiB / 251.5GiB
quirky_brahmagupta: CPU: 1587.55%, Memory: 9.01GiB / 251.5GiB
quirky_brahmagupta: CPU: 1584.60%, Memory: 9.014GiB / 251.5GiB
quirky_brahmagupta: CPU: 99.62%, Memory: 9.017GiB / 251.5GiB
quirky_brahmagupta: CPU: 99.81%, Memory: 8.491GiB / 251.5GiB
quirky_brahmagupta: CPU: 100.06%, Memory: 11.48GiB / 251.5GiB
quirky_brahmagupta: CPU: 1553.25%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1542.46%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1525.95%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1496.02%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1586.04%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1587.19%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1577.63%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1547.70%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1544.91%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1532.99%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1504.40%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1504.29%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1576.06%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1512.67%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1485.98%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1500.20%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1538.25%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1519.54%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1481.34%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1533.04%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1502.49%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1548.63%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1532.58%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1517.34%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1494.99%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1486.14%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1548.57%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1566.61%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1551.20%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 1561.10%, Memory: 12GiB / 251.5GiB
quirky_brahmagupta: CPU: 100.90%, Memory: 14.99GiB / 251.5GiB
quirky_brahmagupta: CPU: 100.71%, Memory: 10.54GiB / 251.5GiB
quirky_brahmagupta: CPU: 477.83%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1581.48%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1558.93%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1580.28%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1571.84%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1561.32%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1560.37%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1564.03%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1552.35%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1504.39%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1551.12%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1543.76%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1492.18%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1494.86%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1303.90%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 120.64%, Memory: 18GiB / 251.5GiB
quirky_brahmagupta: CPU: 431.56%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1569.50%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1586.16%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1524.64%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1563.06%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1494.03%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1555.28%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1521.49%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1561.75%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1543.08%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1580.23%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1580.41%, Memory: 15.02GiB / 251.5GiB
quirky_brahmagupta: CPU: 1582.41%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 1558.12%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 1512.94%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 1544.05%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 1552.70%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 1513.72%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 1529.21%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 1557.16%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 1552.03%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 1581.53%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 1584.79%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 1581.42%, Memory: 9.044GiB / 251.5GiB
quirky_brahmagupta: CPU: 100.11%, Memory: 12.36GiB / 251.5GiB
hungry_chebyshev: CPU: 167.29%, Memory: 1.177GiB / 251.5GiB
hungry_chebyshev: CPU: 101.15%, Memory: 4.141GiB / 251.5GiB
hungry_chebyshev: CPU: 100.82%, Memory: 4.177GiB / 251.5GiB
hungry_chebyshev: CPU: 99.06%, Memory: 6.441GiB / 251.5GiB
hungry_chebyshev: CPU: 748.80%, Memory: 8.991GiB / 251.5GiB
hungry_chebyshev: CPU: 1577.74%, Memory: 8.993GiB / 251.5GiB
hungry_chebyshev: CPU: 1579.74%, Memory: 8.994GiB / 251.5GiB
hungry_chebyshev: CPU: 1572.59%, Memory: 8.994GiB / 251.5GiB
hungry_chebyshev: CPU: 1530.43%, Memory: 8.995GiB / 251.5GiB
hungry_chebyshev: CPU: 1575.82%, Memory: 8.995GiB / 251.5GiB
hungry_chebyshev: CPU: 1587.31%, Memory: 8.996GiB / 251.5GiB
hungry_chebyshev: CPU: 1512.55%, Memory: 8.996GiB / 251.5GiB
hungry_chebyshev: CPU: 1546.99%, Memory: 8.997GiB / 251.5GiB
hungry_chebyshev: CPU: 1582.17%, Memory: 8.998GiB / 251.5GiB
hungry_chebyshev: CPU: 1585.87%, Memory: 8.998GiB / 251.5GiB
hungry_chebyshev: CPU: 1525.18%, Memory: 8.999GiB / 251.5GiB
hungry_chebyshev: CPU: 1496.30%, Memory: 9GiB / 251.5GiB
hungry_chebyshev: CPU: 1516.52%, Memory: 9.001GiB / 251.5GiB
hungry_chebyshev: CPU: 1480.94%, Memory: 8.998GiB / 251.5GiB
hungry_chebyshev: CPU: 1507.17%, Memory: 9.001GiB / 251.5GiB
hungry_chebyshev: CPU: 1521.69%, Memory: 9.001GiB / 251.5GiB
hungry_chebyshev: CPU: 1502.03%, Memory: 9.002GiB / 251.5GiB
hungry_chebyshev: CPU: 1548.55%, Memory: 9.003GiB / 251.5GiB
hungry_chebyshev: CPU: 1517.60%, Memory: 9.003GiB / 251.5GiB
hungry_chebyshev: CPU: 1545.87%, Memory: 9.003GiB / 251.5GiB
hungry_chebyshev: CPU: 1508.14%, Memory: 9.005GiB / 251.5GiB
hungry_chebyshev: CPU: 1528.91%, Memory: 9.006GiB / 251.5GiB
hungry_chebyshev: CPU: 1513.05%, Memory: 9.006GiB / 251.5GiB
hungry_chebyshev: CPU: 1532.46%, Memory: 9.007GiB / 251.5GiB
hungry_chebyshev: CPU: 1499.26%, Memory: 9.008GiB / 251.5GiB
hungry_chebyshev: CPU: 1498.40%, Memory: 9.007GiB / 251.5GiB
hungry_chebyshev: CPU: 1492.76%, Memory: 9.007GiB / 251.5GiB
hungry_chebyshev: CPU: 1486.01%, Memory: 9.007GiB / 251.5GiB
hungry_chebyshev: CPU: 1498.43%, Memory: 9.011GiB / 251.5GiB
hungry_chebyshev: CPU: 1494.97%, Memory: 9.012GiB / 251.5GiB
hungry_chebyshev: CPU: 1554.78%, Memory: 9.017GiB / 251.5GiB
hungry_chebyshev: CPU: 99.62%, Memory: 6.102GiB / 251.5GiB
hungry_chebyshev: CPU: 101.92%, Memory: 9.103GiB / 251.5GiB
hungry_chebyshev: CPU: 291.79%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1555.77%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1582.04%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1581.72%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1574.12%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1587.36%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1532.06%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1535.05%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1502.74%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1496.58%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1500.79%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1571.56%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1555.60%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1575.59%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1577.63%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1583.55%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1542.29%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1581.55%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1582.56%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1515.59%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1494.09%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1501.93%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1492.39%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1503.18%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1500.42%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1504.10%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1501.94%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1511.98%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 1528.70%, Memory: 12GiB / 251.5GiB
hungry_chebyshev: CPU: 363.03%, Memory: 14.99GiB / 251.5GiB
hungry_chebyshev: CPU: 101.09%, Memory: 9.025GiB / 251.5GiB
hungry_chebyshev: CPU: 100.25%, Memory: 12.13GiB / 251.5GiB
hungry_chebyshev: CPU: 1481.99%, Memory: 15.02GiB / 251.5GiB
