jovial_villani: CPU: 159.52%, Memory: 1.496GiB / 251.5GiB
unruffled_wing: CPU: 1471.59%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1457.80%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1480.52%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1487.65%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1522.06%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1526.83%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1395.24%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1452.80%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1489.79%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1485.34%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1371.18%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1535.48%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1477.54%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1440.27%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1582.75%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1480.68%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1216.82%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1479.39%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1544.29%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1491.10%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1423.03%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1447.51%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1465.95%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1468.32%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1495.20%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1438.95%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1444.20%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1430.07%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1412.27%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1483.76%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1378.68%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1504.65%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1456.07%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1450.79%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1445.16%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1352.91%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1339.72%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1501.01%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1452.86%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1492.36%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1429.98%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1501.43%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1456.65%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1484.38%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1539.79%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1465.37%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1544.32%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1499.94%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1534.89%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1488.94%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1360.82%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1468.05%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1475.36%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1413.55%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1438.23%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1455.53%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1452.98%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1271.71%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1486.26%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1462.66%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1521.79%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1495.14%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1503.71%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1489.19%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1488.32%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1405.34%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1494.22%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1578.03%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1423.68%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1464.49%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1427.46%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1596.57%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1459.35%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1378.59%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1540.67%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1495.16%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1583.43%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1465.04%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1524.16%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1546.60%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1517.16%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1505.08%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1510.90%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1488.33%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1468.61%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1481.96%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1470.25%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1513.37%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1496.53%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1493.73%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1461.92%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1529.43%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1429.89%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1459.70%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1451.88%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1506.89%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1533.68%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1499.67%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1494.62%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1500.56%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1502.91%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1489.22%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1555.84%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1393.23%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1422.20%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1413.62%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1440.75%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1474.83%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1430.69%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1436.21%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1422.79%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1487.64%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1421.07%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1520.94%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1470.63%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1484.16%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1128.32%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1525.83%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1440.37%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1431.20%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1438.89%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1447.60%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1392.32%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1435.90%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1480.34%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1419.93%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1465.52%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1418.39%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1512.79%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1524.37%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1479.00%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1508.73%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1525.31%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1470.31%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1556.75%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1491.44%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1476.89%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1446.15%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1472.50%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1470.44%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1550.34%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1514.44%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1521.25%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1541.79%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1504.70%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1464.16%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1481.74%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1490.63%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1488.17%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1505.80%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1508.67%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1472.31%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1514.31%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1493.18%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1469.25%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1472.24%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1502.07%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1423.30%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1439.88%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1532.52%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1477.90%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1514.17%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1484.40%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1435.60%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1424.57%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1475.30%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1461.23%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1532.90%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1559.03%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1478.12%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1298.18%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1538.24%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1450.76%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1486.00%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1433.82%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1585.53%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1438.13%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1444.70%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1492.80%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1473.78%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1489.20%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1522.93%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1372.30%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1503.96%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1479.07%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1469.38%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1449.70%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1435.79%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1488.36%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1466.63%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1507.55%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1545.75%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1478.71%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1451.49%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1423.25%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1500.94%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1506.58%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1375.03%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1487.13%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1436.48%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1450.04%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1518.02%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1496.14%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1505.50%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1496.45%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1441.70%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1486.57%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1448.31%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1446.12%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1508.58%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1500.10%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1303.00%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1584.84%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1257.78%, Memory: 2.282GiB / 251.5GiB
unruffled_wing: CPU: 1547.18%, Memory: 2.281GiB / 251.5GiB
sad_burnell: CPU: 134.97%, Memory: 1.495GiB / 251.5GiB
sad_burnell: CPU: 100.18%, Memory: 1.495GiB / 251.5GiB
sad_burnell: CPU: 99.83%, Memory: 1.495GiB / 251.5GiB
sad_burnell: CPU: 100.88%, Memory: 1.495GiB / 251.5GiB
sad_burnell: CPU: 100.90%, Memory: 1.495GiB / 251.5GiB
sad_burnell: CPU: 100.52%, Memory: 1.495GiB / 251.5GiB
sad_burnell: CPU: 1502.87%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1484.45%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1485.22%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1384.10%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1475.58%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1430.60%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1399.97%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1450.34%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1501.98%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1455.87%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1453.59%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1463.31%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1473.01%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1484.99%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1518.74%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1525.16%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1544.54%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1358.67%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1475.68%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1478.25%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1470.53%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1475.45%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1570.48%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1561.94%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1422.91%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1474.79%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1464.20%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1473.86%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1449.92%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1481.89%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1517.87%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1530.33%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1529.25%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1565.88%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1488.29%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1483.61%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1430.13%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1436.12%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1515.52%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1489.00%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1423.96%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1488.92%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1472.86%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1333.18%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1363.49%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1502.30%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1448.90%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1456.53%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1511.79%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1478.80%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1411.25%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1506.31%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1554.04%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1560.56%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1463.92%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1446.80%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1461.02%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1488.01%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1202.18%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1438.23%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1507.96%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1481.74%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1447.96%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1516.00%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1461.63%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1447.20%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1519.65%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1422.88%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1479.93%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1407.36%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1476.90%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1554.16%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1494.75%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1484.62%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1512.46%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1507.06%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1483.89%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1445.77%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1448.87%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1479.07%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1512.45%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1458.72%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1539.47%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1491.77%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1428.53%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1416.82%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1469.07%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1526.83%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1512.13%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1518.41%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1484.55%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1403.36%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1431.03%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1442.52%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1456.87%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1467.18%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1457.35%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1437.58%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1504.86%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1543.14%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1499.46%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1462.34%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1478.60%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1455.03%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1529.26%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1513.54%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1506.24%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1562.11%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1557.35%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1570.19%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1551.86%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1469.92%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1540.37%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1446.18%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1494.86%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1493.71%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1485.13%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1510.69%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1425.71%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1479.14%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1493.36%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1499.38%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1344.50%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1485.98%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1536.21%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1436.83%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1507.71%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1529.78%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1508.00%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1434.96%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1514.16%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1475.88%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1501.37%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1489.28%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1274.38%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1489.71%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1475.60%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1497.07%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1441.46%, Memory: 1.497GiB / 251.5GiB
sad_burnell: CPU: 1458.69%, Memory: 1.497GiB / 251.5GiB
